2026-05-19 15:30:34 | INFO | Found 14 book file(s) in C:\Users\Krish\Downloads\llm_continued_pretraining\books_articles
2026-05-19 15:30:34 | INFO | Extracting: 0-duplex-ultrasound-of-superficial-leg-veins-2014.pdf
2026-05-19 15:30:35 | DEBUG | Page 2: quality=1.00, falling back to OCR
2026-05-19 15:30:37 | WARNING | OCR failed on page 2: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:37 | DEBUG | Page 3: quality=0.00, falling back to OCR
2026-05-19 15:30:38 | WARNING | OCR failed on page 3: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:38 | DEBUG | Page 9: quality=0.00, falling back to OCR
2026-05-19 15:30:38 | WARNING | OCR failed on page 9: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:38 | DEBUG | Page 11: quality=0.00, falling back to OCR
2026-05-19 15:30:39 | WARNING | OCR failed on page 11: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:39 | DEBUG | Page 13 appears to be an index page – skipping
2026-05-19 15:30:39 | DEBUG | Page 316: quality=0.00, falling back to OCR
2026-05-19 15:30:40 | WARNING | OCR failed on page 316: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:40 | DEBUG | Page 324: quality=0.00, falling back to OCR
2026-05-19 15:30:40 | WARNING | OCR failed on page 324: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:40 | DEBUG | Page 326 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 327 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 328 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 329 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 330 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 331 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 332 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 333 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 334 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Page 335 appears to be an index page – skipping
2026-05-19 15:30:40 | DEBUG | Removing 75 repeated header/footer lines
2026-05-19 15:30:40 | INFO |   Saved: 0-duplex-ultrasound-of-superficial-leg-veins-2014.txt | pages=335 | ocr_pages=0 | words=122,480 | chapters=15
2026-05-19 15:30:40 | INFO | Extracting: 0-Handbook of Venous and Lymphatic Disorders Guidelines of the American Venous Forum by Peter Gloviczki et al. (eds.) (z-lib.org).pdf
2026-05-19 15:30:41 | DEBUG | Page 1: quality=0.00, falling back to OCR
2026-05-19 15:30:41 | WARNING | OCR failed on page 1: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:41 | DEBUG | Page 2: quality=1.00, falling back to OCR
2026-05-19 15:30:42 | WARNING | OCR failed on page 2: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:42 | DEBUG | Page 3: quality=0.00, falling back to OCR
2026-05-19 15:30:43 | WARNING | OCR failed on page 3: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:43 | DEBUG | Page 7: quality=0.00, falling back to OCR
2026-05-19 15:30:43 | WARNING | OCR failed on page 7: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:43 | DEBUG | Page 13: quality=0.00, falling back to OCR
2026-05-19 15:30:44 | WARNING | OCR failed on page 13: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:44 | DEBUG | Page 15: quality=0.00, falling back to OCR
2026-05-19 15:30:45 | WARNING | OCR failed on page 15: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:45 | DEBUG | Page 21: quality=0.00, falling back to OCR
2026-05-19 15:30:45 | WARNING | OCR failed on page 21: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:45 | DEBUG | Page 25: quality=0.00, falling back to OCR
2026-05-19 15:30:46 | WARNING | OCR failed on page 25: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:46 | DEBUG | Page 31: quality=0.00, falling back to OCR
2026-05-19 15:30:47 | WARNING | OCR failed on page 31: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:47 | DEBUG | Page 33: quality=0.00, falling back to OCR
2026-05-19 15:30:47 | WARNING | OCR failed on page 33: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:47 | DEBUG | Page 81: quality=0.00, falling back to OCR
2026-05-19 15:30:48 | WARNING | OCR failed on page 81: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:48 | DEBUG | Page 121: quality=0.00, falling back to OCR
2026-05-19 15:30:49 | WARNING | OCR failed on page 121: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:49 | DEBUG | Page 137: quality=0.00, falling back to OCR
2026-05-19 15:30:50 | WARNING | OCR failed on page 137: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:50 | DEBUG | Page 151: quality=0.00, falling back to OCR
2026-05-19 15:30:50 | WARNING | OCR failed on page 151: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:50 | DEBUG | Page 155 appears to be an index page – skipping
2026-05-19 15:30:50 | DEBUG | Page 156 appears to be an index page – skipping
2026-05-19 15:30:50 | DEBUG | Page 159: quality=0.00, falling back to OCR
2026-05-19 15:30:51 | WARNING | OCR failed on page 159: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:51 | DEBUG | Page 161: quality=0.00, falling back to OCR
2026-05-19 15:30:52 | WARNING | OCR failed on page 161: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:52 | DEBUG | Page 195: quality=0.00, falling back to OCR
2026-05-19 15:30:52 | WARNING | OCR failed on page 195: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
2026-05-19 15:30:52 | DEBUG | Page 235: quality=0.00, falling back to OCR
2026-05-19 15:30:53 | WARNING | OCR failed on page 235: tesseract is not installed or it's not in your PATH. See README file for more information.. Using raw native text.
