frame_idx,track_id,label,cx,cy,x,y,w,h,area,age
0,0,N2,111.9,87.0,88,69,48,39,1535,1
1,0,N2,125.8,88.6,106,71,41,37,1213,2
1,1,N2,77.1,85.9,71,80,13,13,150,1
2,0,N2,105.2,85.5,86,68,39,35,1169,3
3,0,N2,95.0,81.5,76,65,40,34,1133,4
3,2,N2,30.3,87.5,24,81,13,15,152,1
4,0,N2,90.1,73.7,71,58,39,34,1150,5
4,2,N2,23.6,92.0,16,86,16,13,178,2
5,0,N2,90.1,67.9,71,51,39,36,1164,6
5,3,N2,28.6,101.8,22,94,15,15,174,1
6,0,N2,101.4,63.7,82,46,38,36,1120,7
7,0,N2,108.2,60.6,88,43,42,37,1246,8
7,4,N2,47.5,107.8,40,100,16,16,209,1
8,5,N2,129.6,58.2,112,40,36,35,1095,1
9,6,N3,205.6,52.7,182,36,50,34,1357,1
10,6,N3,218.5,51.2,198,36,44,32,1161,2
11,6,N3,205.5,54.5,186,37,40,35,1172,3
12,6,N3,208.5,57.1,190,40,38,35,1140,4
12,7,N2,123.8,103.8,118,97,14,15,161,1
13,6,N3,217.7,58.6,198,42,41,35,1248,5
13,8,N2,135.7,100.3,130,92,12,17,181,1
14,6,N3,221.1,59.5,201,42,41,36,1216,6
15,6,N3,225.8,63.6,204,46,44,36,1344,7
16,6,N3,225.9,69.0,206,52,42,36,1290,8
17,6,N3,219.0,68.1,200,52,39,34,1155,9
18,6,N3,210.0,60.3,190,44,42,34,1216,10
19,6,N3,204.3,58.1,182,42,44,33,1233,11
20,6,N3,199.2,55.4,179,39,41,33,1167,12
20,9,N2,102.5,107.8,96,101,14,14,171,1
21,6,N3,198.2,53.6,177,37,43,34,1172,13
21,9,N2,101.1,105.0,94,99,15,13,161,2
22,6,N3,187.1,58.5,166,42,42,35,1228,14
23,10,N2,168.9,65.6,148,49,42,35,1194,1
24,10,N2,164.7,71.4,147,55,37,35,1153,2
24,11,N2,91.5,93.6,84,86,15,16,193,1
25,10,N2,157.7,78.1,138,62,41,34,1204,3
25,11,N2,89.0,92.2,82,86,14,13,152,2
26,10,N2,151.9,85.1,134,68,38,36,1169,4
26,11,N2,89.7,88.5,82,82,15,14,170,3
27,10,N2,144.4,89.3,126,71,38,38,1239,5
27,11,N2,91.2,87.4,84,80,15,16,203,4
28,10,N2,144.0,94.7,126,77,38,36,1174,6
28,11,N2,98.3,89.8,92,84,14,13,153,5
29,12,N2,122.1,92.9,88,74,62,41,1819,1
30,12,N2,115.1,91.2,93,71,44,42,1482,2
31,12,N2,116.9,90.8,96,71,41,41,1397,3
32,12,N2,120.5,89.6,97,71,47,40,1595,4
33,10,N2,158.1,94.8,138,77,41,36,1217,7
34,13,N3,201.7,78.5,184,62,38,34,1079,1
35,6,N3,190.6,68.7,170,52,42,35,1201,15
36,6,N3,187.5,61.1,168,44,40,36,1249,16
36,9,N2,102.0,102.1,96,94,14,16,183,3
37,6,N3,181.4,59.0,160,42,42,36,1272,17
37,14,N2,89.1,108.6,82,102,15,14,180,1
38,6,N3,180.7,56.3,162,39,38,35,1133,18
38,14,N2,81.8,106.0,75,100,15,13,155,2
39,6,N3,179.9,53.9,158,37,44,35,1229,19
39,14,N2,76.0,104.7,68,97,16,15,189,3
40,6,N3,197.5,54.4,179,37,39,34,1121,20
40,15,N2,90.3,109.0,82,103,17,13,166,1
41,16,N3,211.0,53.2,191,34,41,38,1275,1
42,16,N3,222.6,56.3,201,39,44,36,1312,2
43,16,N3,221.7,58.0,201,40,43,38,1308,3
44,16,N3,214.5,66.7,184,40,64,56,2794,4
45,16,N3,196.5,76.3,159,48,74,60,3502,5
46,16,N3,203.7,73.9,173,50,62,49,2445,6
47,16,N3,200.9,67.9,176,46,52,44,1893,7
48,16,N3,192.6,66.0,168,44,50,46,1843,8
49,6,N3,172.9,66.3,148,44,49,46,1841,21
50,17,N2,149.6,58.7,126,39,48,41,1611,1
51,17,N2,129.0,51.5,106,33,47,39,1541,2
52,17,N2,110.4,46.3,88,28,46,37,1379,3
53,17,N2,101.3,40.9,80,24,45,36,1385,4
54,17,N2,101.4,35.3,78,20,47,33,1355,5
55,17,N2,113.2,33.9,88,17,52,35,1548,6
56,17,N2,120.3,34.3,96,17,50,36,1537,7
57,17,N2,124.3,34.4,100,18,48,35,1414,8
58,17,N2,131.9,37.8,109,20,47,36,1409,9
59,17,N2,141.7,38.6,119,20,47,38,1436,10
60,6,N3,161.0,47.1,141,28,41,38,1333,22
63,18,N2,144.3,90.0,115,66,60,50,2653,1
64,19,N2,89.3,91.7,62,74,57,36,1736,1
65,20,N2,103.1,62.7,68,49,69,29,1639,1
66,21,N3,26.6,33.5,5,20,45,28,1082,1
67,22,N2,50.7,46.1,24,28,51,37,1449,1
70,23,N3,184.8,93.2,163,74,44,40,1383,1
71,23,N3,187.8,81.1,166,66,45,31,1173,2
72,6,N3,155.6,67.1,135,51,41,33,1172,23
73,20,N2,136.3,64.7,117,48,39,36,1170,2
74,20,N2,131.1,71.3,112,55,40,35,1123,3
74,24,N2,62.2,90.4,56,82,14,17,183,1
75,20,N2,129.4,82.0,110,65,42,37,1292,4
75,24,N2,65.7,87.1,59,80,14,16,162,2
76,20,N2,134.3,88.6,114,70,41,40,1307,5
77,18,N2,138.5,94.3,120,75,38,40,1304,2
77,25,N2,95.9,89.2,88,82,16,15,201,1
78,18,N2,125.0,90.3,94,72,58,41,1797,3
79,18,N2,126.1,89.6,104,70,44,42,1489,4
