frame_idx,track_id,cx,cy,x,y,w,h,area,age,label,video,raw_frame_idx
0,0,190.95,30.55,177,21,30,19,441,1,N1,202207111318_38-Perf,0
0,1,34.67,31.04,26,24,18,16,244,1,N3,202207111318_38-Perf,0
1,1,45.49,33.82,37,27,16,15,187,2,N3,202207111318_38-Perf,12
2,1,50.53,28.6,43,22,17,14,194,3,N3,202207111318_38-Perf,24
2,2,142.44,25.73,138,21,10,11,97,1,N3,202207111318_38-Perf,24
3,1,57.82,23.14,50,17,16,13,183,4,N3,202207111318_38-Perf,36
3,3,134.93,23.31,131,20,9,8,61,1,N2,202207111318_38-Perf,36
3,4,179.19,110.76,163,96,35,29,807,1,N1,202207111318_38-Perf,36
4,5,69.89,26.59,64,21,13,12,147,1,N3,202207111318_38-Perf,48
5,6,104.5,30.31,96,24,18,13,203,1,N3,202207111318_38-Perf,60
5,7,157.26,112.23,138,97,38,31,913,1,N1,202207111318_38-Perf,60
6,8,17.74,39.0,12,34,11,10,68,1,N3,202207111318_38-Perf,72
7,1,60.81,26.18,50,18,23,18,357,5,N3,202207111318_38-Perf,84
7,9,189.77,30.33,182,24,17,13,172,1,N2,202207111318_38-Perf,84
8,1,51.97,22.3,42,14,22,18,352,6,N3,202207111318_38-Perf,96
8,10,157.22,26.47,151,21,13,12,139,1,N3,202207111318_38-Perf,96
9,1,53.1,22.74,43,15,22,17,319,7,N3,202207111318_38-Perf,108
9,10,157.81,25.8,152,20,12,13,141,2,N2,202207111318_38-Perf,108
10,1,54.11,23.8,44,17,21,15,287,8,unknown,202207111318_38-Perf,120
10,10,163.5,27.86,154,21,19,15,252,3,unknown,202207111318_38-Perf,120
11,1,60.68,23.5,49,15,24,18,363,9,N3,202207111318_38-Perf,132
12,9,180.06,25.51,169,18,23,16,319,2,N3,202207111318_38-Perf,144
13,10,159.57,23.27,148,15,24,18,371,4,N3,202207111318_38-Perf,156
14,9,196.84,23.64,181,15,34,18,507,3,N3,202207111318_38-Perf,168
15,11,106.25,21.79,97,15,19,15,258,1,N3,202207111318_38-Perf,180
16,12,129.66,23.5,118,15,24,18,373,1,N3,202207111318_38-Perf,192
17,13,118.84,34.79,112,28,15,14,152,1,N3,202207111318_38-Perf,204
21,14,151.5,25.01,139,17,26,17,384,1,unknown,202207111318_38-Perf,252
21,15,34.52,47.57,24,40,22,16,316,1,unknown,202207111318_38-Perf,252
22,16,228.8,24.45,217,17,25,16,377,1,N3,202207111318_38-Perf,264
22,17,55.42,43.03,46,36,18,16,227,1,N2,202207111318_38-Perf,264
23,18,242.2,20.88,236,14,14,14,161,1,N3,202207111318_38-Perf,276
23,19,73.8,45.41,65,39,18,15,212,1,N2,202207111318_38-Perf,276
24,20,86.45,44.83,77,37,20,16,261,1,N3,202207111318_38-Perf,288
25,20,96.93,45.12,87,37,22,17,301,2,N2,202207111318_38-Perf,300
26,14,147.28,30.96,138,24,18,15,206,2,N1,202207111318_38-Perf,312
26,16,219.12,23.81,208,15,25,18,376,2,N2,202207111318_38-Perf,312
26,20,106.0,47.02,96,39,20,17,288,3,N3,202207111318_38-Perf,312
27,14,144.81,23.99,134,15,22,19,373,3,N3,202207111318_38-Perf,324
27,20,107.72,48.23,97,40,23,18,361,4,N2,202207111318_38-Perf,324
28,14,145.85,25.82,120,12,50,28,861,4,N3,202207111318_38-Perf,336
28,20,117.12,55.26,106,44,22,23,417,5,N2,202207111318_38-Perf,336
29,14,132.89,39.42,112,12,45,55,1266,5,unknown,202207111318_38-Perf,348
29,21,72.55,60.14,68,56,12,9,86,1,N3,202207111318_38-Perf,348
30,14,144.8,23.97,134,14,23,22,393,6,N3,202207111318_38-Perf,360
30,22,134.91,51.58,121,40,27,25,548,1,N2,202207111318_38-Perf,360
31,22,145.27,54.45,136,46,20,18,273,2,N3,202207111318_38-Perf,372
31,23,157.89,24.72,146,14,24,22,482,1,N2,202207111318_38-Perf,372
32,23,155.08,25.1,134,14,42,25,812,2,N3,202207111318_38-Perf,384
32,24,120.87,53.86,108,44,26,20,438,1,N2,202207111318_38-Perf,384
33,24,119.09,48.77,112,40,16,18,246,2,N3,202207111318_38-Perf,396
33,25,163.25,23.8,157,17,13,15,180,1,N2,202207111318_38-Perf,396
34,20,114.69,45.79,104,37,22,18,312,6,N1,202207111318_38-Perf,408
